# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
229, -39000, 0, 15000, 8000, 0, 0, 4800, 0
230, -40000, 0, 4000, 8000, 4. 0, 4800, 0
231, 354000, 0, 15000, 8000, 0, 0, 4800, 0
232, 0, 12500, 8000, 8000, 0, 0, 4800, 0
233, -25000, 0, 4000, 8000, 4. 0, 4800, 0
234, -33000, 0, 15000, 8000, 0, 0, 4800, 0
235, -40000, 0, 4000, 8000, 4. 0, 4800, 0
236, -46000, 0, 15000, 8000, 0, 0, 4800, 0
237, -27000, 0, 4000, 8000, 4. 0, 4800, 0
238, -52000, 0, 15000, 8000, 0, 0, 4800, 0
239, -52000, 0, 4000, 8000, 4. 0, 4800, 0
240, -39000, 0, 15000, 8000, 0, 0, 4800, 0
241, -40000, 0, 4000, 8000, 4. 0, 4800, 0
242, 354000, 0, 15000, 8000, 0, 0, 4800, 0
243, 0, 12500, 8000, 8000, 0, 0, 4800, 0
244, -25000, 0, 4000, 8000, 4. 0, 4800, 0
245, -33000, 0, 15000, 8000, 0, 0, 4800, 0
246, -40000, 0, 4000, 8000, 4. 0, 4800, 0
247, -46000, 0, 15000, 8000, 0, 0, 4800, 0
248, -27000, 0, 4000, 8000, 4. 0, 4800, 0
249, -52000, 0, 15000, 8000, 0, 0, 4800, 0
250, -52000, 0, 4000, 8000, 4. 0, 4800, 0
251, -39000, 0, 15000, 8000, 0, 0, 4800, 0
252, -40000, 0, 4000, 8000, 4. 0, 4800, 0
253, 354000, 0, 15000, 8000, 0, 0, 4800, 0
254, 0, 12500, 8000, 8000, 0, 0, 4800, 0
255, -25000, 0, 4000, 8000, 4. 0, 4800, 0
256, -33000, 0, 15000, 8000, 0, 0, 4800, 0
257, -40000, 0, 4000, 8000, 4. 0, 4800, 0
258, -46000, 0, 15000, 8000, 0, 0, 4800, 0
259, -27000, 0, 4000, 8000, 4. 0, 4800, 0
260, -52000, 0, 15000, 8000, 0, 0, 4800, 0
261, -52000, 0, 4000, 8000, 4. 0, 4800, 0
262, -39000, 0, 15000, 8000, 0, 0, 4800, 0
263, -40000, 0, 4000, 8000, 4. 0, 4800, 0
264, 354000, 0, 15000, 8000, 0, 0, 4800, 0
265, 0, 12500, 8000, 8000, 0, 0, 4800, 0
266, -25000, 0, 4000, 8000, 4. 0, 4800, 0
267, -33000, 0, 15000, 8000, 0, 0, 4800, 0
268, -40000, 0, 4000, 8000, 4. 0, 4800, 0
269, -46000, 0, 15000, 8000, 0, 0, 4800, 0
270, -27000, 0, 4000, 8000, 4. 0, 4800, 0
271, -52000, 0, 15000, 8000, 0, 0, 4800, 0
272, -52000, 0, 4000, 8000, 4. 0, 4800, 0
273, -39000, 0, 15000, 8000, 0, 0, 4800, 0
274, -40000, 0, 4000, 8000, 4. 0, 4800, 0
275, 354000, 0, 15000, 8000, 0, 0, 4800, 0
276, 0, 12500, 8000, 8000, 0, 0, 4800, 0
277, -25000, 0, 4000, 8000, 4. 0, 4800, 0
278, -33000, 0, 15000, 8000, 0, 0, 4800, 0
279, -40000, 0, 4000, 8000, 4. 0, 4800, 0
280, -46000, 0, 15000, 8000, 0, 0, 4800, 0
281, -27000, 0, 4000, 8000, 4. 0, 4800, 0
282, -52000, 0, 15000, 8000, 0, 0, 4800, 0
283, -52000, 0, 4000, 8000, 4. 0, 4800, 0
284, -39000, 0, 15000, 8000, 0, 0, 4800, 0
285, -40000, 0, 4000, 8000, 4. 0, 4800, 0
286, 354000, 0, 15000, 8000, 0, 0, 4800, 0
287, 0, 12500, 8000, 8000, 0, 0, 4800, 0
288, -25000, 0, 4000, 8000, 4. 0, 4800, 0
289, -33000, 0, 15000, 8000, 0, 0, 4800, 0
290, -40000, 0, 4000, 8000, 4. 0, 4800, 0
