# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
374, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
375, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
376, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
377, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
378, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
379, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
380, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
381, -39000, 0, 15000, 8000, 0, 0, 4800, 0
382, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
383, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
384, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
385, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
386, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
387, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
388, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
389, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
390, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
391, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
392, 354000, 0, 15000, 8000, 0, 0, 4800, 0
393, 0, 12500, 8000, 8000, 0, 0, 4800, 0
394, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
395, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
396, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
397, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
398, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
399, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
400, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
401, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
402, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
403, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
404, -33000, 0, 15000, 8000, 0, 0, 4800, 0
405, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
406, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
407, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
408, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
409, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
410, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
411, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
412, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
413, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
414, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
415, -46000, 0, 15000, 8000, 0, 0, 4800, 0
416, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
417, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
418, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
419, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
